transaction_id,fraude
TXS2-00001,1
TXS2-00002,0
TXS2-00003,0
TXS2-00004,0
TXS2-00005,1
TXS2-00006,0
TXS2-00007,0
TXS2-00008,0
TXS2-00009,0
TXS2-00010,0
TXS2-00011,0
TXS2-00012,1
TXS2-00013,0
TXS2-00014,0
TXS2-00015,0
TXS2-00016,0
TXS2-00017,0
TXS2-00018,0
TXS2-00019,0
TXS2-00020,0
TXS2-00021,0
TXS2-00022,0
TXS2-00023,0
TXS2-00024,0
TXS2-00025,0
TXS2-00026,0
TXS2-00027,0
TXS2-00028,0
TXS2-00029,0
TXS2-00030,0
TXS2-00031,0
TXS2-00032,0
TXS2-00033,0
TXS2-00034,1
TXS2-00035,0
TXS2-00036,0
TXS2-00037,0
TXS2-00038,0
TXS2-00039,0
TXS2-00040,0
TXS2-00041,0
TXS2-00042,0
TXS2-00043,0
TXS2-00044,0
TXS2-00045,0
TXS2-00046,0
TXS2-00047,0
TXS2-00048,1
TXS2-00049,0
TXS2-00050,0
TXS2-00051,0
TXS2-00052,0
TXS2-00053,0
TXS2-00054,0
TXS2-00055,0
TXS2-00056,0
TXS2-00057,0
TXS2-00058,0
TXS2-00059,0
TXS2-00060,0
TXS2-00061,0
TXS2-00062,0
TXS2-00063,0
TXS2-00064,1
TXS2-00065,0
TXS2-00066,1
TXS2-00067,1
TXS2-00068,0
TXS2-00069,0
TXS2-00070,0
TXS2-00071,1
TXS2-00072,0
TXS2-00073,1
TXS2-00074,0
TXS2-00075,0
TXS2-00076,0
TXS2-00077,0
TXS2-00078,0
TXS2-00079,0
TXS2-00080,0
TXS2-00081,0
TXS2-00082,0
TXS2-00083,0
TXS2-00084,0
TXS2-00085,0
TXS2-00086,0
TXS2-00087,0
TXS2-00088,0
TXS2-00089,0
TXS2-00090,0
TXS2-00091,0
TXS2-00092,0
TXS2-00093,0
TXS2-00094,0
TXS2-00095,0
TXS2-00096,0
TXS2-00097,1
TXS2-00098,0
TXS2-00099,0
TXS2-00100,0
TXS2-00101,0
TXS2-00102,0
TXS2-00103,1
TXS2-00104,0
TXS2-00105,1
TXS2-00106,0
TXS2-00107,0
TXS2-00108,0
TXS2-00109,0
TXS2-00110,0
TXS2-00111,0
TXS2-00112,0
TXS2-00113,0
TXS2-00114,0
TXS2-00115,1
TXS2-00116,0
TXS2-00117,0
TXS2-00118,0
TXS2-00119,0
TXS2-00120,1
TXS2-00121,0
TXS2-00122,0
TXS2-00123,0
TXS2-00124,0
TXS2-00125,0
TXS2-00126,0
TXS2-00127,0
TXS2-00128,0
TXS2-00129,0
TXS2-00130,0
TXS2-00131,1
TXS2-00132,0
TXS2-00133,0
TXS2-00134,0
TXS2-00135,0
TXS2-00136,0
TXS2-00137,0
TXS2-00138,1
TXS2-00139,1
TXS2-00140,0
TXS2-00141,0
TXS2-00142,1
TXS2-00143,0
TXS2-00144,1
TXS2-00145,0
TXS2-00146,0
TXS2-00147,0
TXS2-00148,0
TXS2-00149,0
TXS2-00150,0
