transaction_id,montant_eur,heure,anciennete_client_j,nb_articles,distance_domicile_km
TXS2-00001,65.27,15.05,27,7,119.74
TXS2-00002,21.96,22.72,250,4,14.41
TXS2-00003,65.13,11.65,1,4,2.75
TXS2-00004,47.46,18.74,32,4,3.14
TXS2-00005,130.13,7.43,268,4,21.66
TXS2-00006,103.81,9.95,297,4,6.46
TXS2-00007,103.17,18.55,310,4,5.34
TXS2-00008,76.51,11.22,117,3,4.15
TXS2-00009,53.0,21.39,124,5,19.58
TXS2-00010,21.18,18.68,110,4,69.42
TXS2-00011,30.45,16.06,117,8,6.26
TXS2-00012,46.73,18.4,201,3,27.53
TXS2-00013,280.83,21.3,170,7,13.29
TXS2-00014,74.21,21.41,74,5,3.28
TXS2-00015,36.86,13.05,5,3,13.58
TXS2-00016,272.5,10.29,865,4,4.79
TXS2-00017,120.47,20.85,174,2,7.29
TXS2-00018,111.85,17.91,152,4,48.62
TXS2-00019,56.42,18.93,167,5,9.17
TXS2-00020,37.48,10.88,191,4,15.79
TXS2-00021,95.03,20.06,4,6,6.35
TXS2-00022,249.65,20.59,382,4,11.3
TXS2-00023,31.56,10.78,75,3,3.06
TXS2-00024,52.63,10.38,5,5,7.61
TXS2-00025,51.94,9.52,400,5,7.2
TXS2-00026,128.2,21.81,13,3,2.11
TXS2-00027,53.76,23.15,171,3,16.98
TXS2-00028,135.06,9.02,178,5,28.95
TXS2-00029,21.78,18.46,464,3,5.62
TXS2-00030,31.41,15.72,26,3,1.44
TXS2-00031,121.8,18.73,391,1,5.96
TXS2-00032,16.5,19.58,281,6,2.36
TXS2-00033,57.0,12.08,119,6,7.87
TXS2-00034,134.72,23.73,175,5,7.42
TXS2-00035,82.35,10.38,222,2,6.26
TXS2-00036,16.27,18.17,246,5,9.21
TXS2-00037,74.06,12.82,15,3,7.94
TXS2-00038,76.15,13.44,33,1,4.13
TXS2-00039,36.66,21.17,158,4,1.1
TXS2-00040,48.52,14.87,445,4,36.4
TXS2-00041,46.87,12.76,34,3,2.32
TXS2-00042,34.41,21.91,14,5,12.1
TXS2-00043,22.5,15.71,95,1,3.0
TXS2-00044,58.95,20.35,70,6,11.25
TXS2-00045,19.32,15.83,398,2,4.67
TXS2-00046,109.94,13.7,121,3,10.39
TXS2-00047,110.2,14.88,261,4,2.37
TXS2-00048,52.21,23.18,301,9,4.94
TXS2-00049,131.61,20.72,26,2,5.46
TXS2-00050,166.78,19.93,46,2,12.23
TXS2-00051,62.04,20.31,231,7,3.44
TXS2-00052,58.99,21.1,559,2,38.53
TXS2-00053,121.04,14.92,403,4,2.5
TXS2-00054,126.02,20.79,270,4,35.43
TXS2-00055,122.55,13.52,23,4,15.05
TXS2-00056,122.39,13.56,46,5,9.21
TXS2-00057,58.51,10.87,118,4,2.6
TXS2-00058,25.85,19.25,744,4,4.51
TXS2-00059,47.75,9.01,29,1,19.62
TXS2-00060,57.67,23.22,58,2,31.94
TXS2-00061,17.31,13.81,716,1,54.13
TXS2-00062,175.53,18.26,619,6,5.92
TXS2-00063,47.42,19.8,37,3,1.37
TXS2-00064,187.43,0.02,45,1,1.29
TXS2-00065,41.54,15.06,4,7,8.44
TXS2-00066,99.55,19.5,14,6,13.11
TXS2-00067,115.94,10.96,93,4,1.45
TXS2-00068,49.48,11.82,106,6,8.01
TXS2-00069,38.63,15.7,254,1,13.52
TXS2-00070,23.68,20.73,65,5,3.48
TXS2-00071,91.05,19.08,120,4,10.15
TXS2-00072,70.87,17.38,23,1,3.54
TXS2-00073,87.74,21.26,52,3,54.41
TXS2-00074,21.0,20.63,17,5,16.54
TXS2-00075,199.32,9.05,81,3,1.25
TXS2-00076,95.13,17.13,31,8,2.02
TXS2-00077,40.2,14.23,39,4,9.3
TXS2-00078,92.42,21.36,235,3,5.94
