transaction_id,montant_eur,heure,anciennete_client_j,nb_articles,distance_domicile_km
TXS3-00001,17.96,22.26,283,3,5.51
TXS3-00002,36.79,22.96,49,1,33.74
TXS3-00003,53.63,19.95,135,2,2.78
TXS3-00004,67.45,9.96,278,3,3.54
TXS3-00005,43.81,14.22,21,2,2.12
TXS3-00006,22.31,15.17,311,1,6.0
TXS3-00007,87.12,16.91,228,1,1.9
TXS3-00008,56.14,12.52,15,2,9.08
TXS3-00009,32.89,7.08,22,3,2.53
TXS3-00010,248.48,23.42,77,4,12.64
TXS3-00011,9.25,14.84,325,4,23.61
TXS3-00012,103.96,22.03,949,3,3.55
TXS3-00013,20.78,7.64,1104,1,10.82
TXS3-00014,28.12,15.26,363,7,6.65
TXS3-00015,38.05,19.38,437,3,11.32
TXS3-00016,62.85,15.72,30,3,6.47
TXS3-00017,17.62,23.48,400,4,3.76
TXS3-00018,15.07,15.19,335,4,1.61
TXS3-00019,64.37,12.97,23,2,34.25
TXS3-00020,85.68,13.84,144,1,0.3
TXS3-00021,68.04,15.11,329,3,71.59
TXS3-00022,33.9,12.51,547,4,4.71
TXS3-00023,40.16,20.8,76,2,68.17
TXS3-00024,28.93,9.26,15,2,1.75
TXS3-00025,29.7,15.93,241,1,2.39
TXS3-00026,28.53,17.32,123,1,16.91
TXS3-00027,18.2,14.7,251,2,0.28
TXS3-00028,26.85,14.34,291,2,7.91
TXS3-00029,42.33,11.36,42,2,1.54
TXS3-00030,32.62,12.81,86,4,7.16
TXS3-00031,57.48,16.66,23,4,2.82
TXS3-00032,69.05,11.01,626,1,0.87
TXS3-00033,185.53,15.26,205,1,4.42
TXS3-00034,64.23,13.19,764,2,4.48
TXS3-00035,117.01,21.14,88,2,9.82
TXS3-00036,49.05,13.23,7,2,52.34
TXS3-00037,214.04,15.24,120,4,26.25
TXS3-00038,21.47,12.15,525,3,3.76
TXS3-00039,29.02,19.46,698,3,12.38
TXS3-00040,20.29,20.58,332,1,19.01
TXS3-00041,13.08,11.86,265,2,3.62
TXS3-00042,19.85,17.67,61,1,4.0
TXS3-00043,41.85,12.69,74,2,14.1
TXS3-00044,32.77,17.84,613,2,5.55
TXS3-00045,23.82,17.04,53,1,1.67
TXS3-00046,11.94,13.49,21,3,7.65
TXS3-00047,79.97,17.84,297,1,0.82
TXS3-00048,45.94,18.08,404,4,1.9
TXS3-00049,14.63,9.92,429,2,13.55
TXS3-00050,46.15,20.15,1060,4,16.26
TXS3-00051,27.91,20.62,38,2,4.0
TXS3-00052,140.95,20.29,195,2,20.42
TXS3-00053,12.95,9.25,376,4,8.97
TXS3-00054,41.37,16.1,303,5,6.88
TXS3-00055,18.25,12.43,221,2,4.88
TXS3-00056,80.04,7.16,52,3,6.83
TXS3-00057,30.09,22.63,174,1,0.86
TXS3-00058,108.08,11.49,776,2,3.18
TXS3-00059,8.21,23.24,2289,3,64.66
TXS3-00060,10.9,10.16,2144,4,4.82
TXS3-00061,6.41,16.49,1377,3,4.03
TXS3-00062,79.57,12.09,2227,1,28.71
TXS3-00063,31.25,11.54,408,2,2.17
TXS3-00064,40.27,8.71,331,6,36.53
TXS3-00065,33.5,20.06,809,2,17.19
TXS3-00066,43.21,23.02,562,3,14.7
TXS3-00067,23.88,14.84,319,1,11.89
TXS3-00068,26.11,8.81,452,2,11.53
TXS3-00069,14.57,19.17,180,5,13.46
TXS3-00070,22.11,15.57,788,2,4.43
TXS3-00071,276.57,14.19,423,5,7.99
TXS3-00072,51.67,16.65,446,2,9.87
TXS3-00073,11.71,19.75,873,2,2.82
TXS3-00074,59.43,12.95,98,2,36.52
TXS3-00075,12.35,14.57,303,3,8.27
TXS3-00076,25.76,17.49,706,4,17.15
TXS3-00077,64.51,19.41,101,1,66.76
TXS3-00078,55.14,6.05,111,4,1.88
TXS3-00079,28.92,14.56,82,3,35.58
TXS3-00080,71.19,14.96,82,4,46.18
TXS3-00081,32.18,16.85,205,3,28.83
TXS3-00082,14.97,16.36,395,2,16.21
TXS3-00083,22.11,22.5,145,1,3.06
TXS3-00084,31.21,20.08,69,2,2.93
TXS3-00085,16.12,9.46,65,1,7.85
TXS3-00086,19.86,9.59,315,3,5.59
TXS3-00087,50.23,12.37,948,1,1.6
TXS3-00088,13.67,21.79,453,3,2.3
TXS3-00089,55.44,21.83,123,2,9.22
TXS3-00090,64.72,16.71,423,1,7.76
TXS3-00091,21.24,12.88,976,1,6.33
TXS3-00092,28.81,9.71,292,3,4.33
TXS3-00093,77.75,19.82,268,2,6.71
TXS3-00094,108.78,17.36,183,3,1.51
TXS3-00095,83.17,14.19,281,2,6.61
TXS3-00096,23.98,17.07,244,2,13.01
TXS3-00097,16.0,19.8,139,4,15.01
TXS3-00098,18.94,11.02,69,1,5.57
TXS3-00099,121.21,11.77,232,1,0.76
TXS3-00100,92.36,15.36,1239,2,1.12
TXS3-00101,12.3,18.39,231,1,1.92
TXS3-00102,18.06,18.93,134,1,9.38
TXS3-00103,20.79,21.64,574,2,8.59
TXS3-00104,16.41,11.34,1154,2,0.88
TXS3-00105,51.72,15.72,491,1,5.19
TXS3-00106,29.11,21.88,34,2,4.39
TXS3-00107,47.55,15.73,196,2,10.92
TXS3-00108,51.39,10.62,493,5,12.68
TXS3-00109,82.6,13.41,1,2,5.66
TXS3-00110,64.05,21.78,1210,2,2.76
TXS3-00111,38.22,14.41,69,2,1.43
TXS3-00112,40.84,19.55,906,4,0.38
TXS3-00113,27.73,21.68,29,3,1.0
TXS3-00114,66.43,19.84,178,4,3.17
TXS3-00115,25.36,7.1,826,2,3.72
TXS3-00116,31.53,20.09,241,2,10.49
TXS3-00117,28.38,16.86,528,2,2.19
TXS3-00118,42.35,18.16,243,3,22.04
TXS3-00119,43.25,11.27,1136,1,7.15
TXS3-00120,49.58,12.54,133,5,2.33
TXS3-00121,242.45,19.38,588,1,0.71
TXS3-00122,22.84,14.35,871,3,1.46
TXS3-00123,14.83,21.64,3452,3,6.86
TXS3-00124,34.06,14.49,196,2,3.65
TXS3-00125,17.69,18.27,141,1,11.73
TXS3-00126,22.64,7.5,5,4,3.3
TXS3-00127,15.27,10.26,710,2,12.71
TXS3-00128,37.89,10.8,361,1,5.41
TXS3-00129,18.41,17.57,224,1,0.91
TXS3-00130,34.13,22.12,483,1,1.23
TXS3-00131,29.89,21.57,585,1,7.44
TXS3-00132,19.3,13.07,113,1,0.6
TXS3-00133,17.86,12.25,179,1,3.67
TXS3-00134,48.26,19.97,13,2,4.27
TXS3-00135,15.98,8.12,565,3,2.03
TXS3-00136,25.99,21.02,605,3,5.12
TXS3-00137,35.79,20.93,696,1,17.39
TXS3-00138,29.4,16.89,415,1,0.97
TXS3-00139,70.55,14.28,508,3,20.28
TXS3-00140,27.32,14.28,667,2,6.13
TXS3-00141,28.61,17.13,558,4,1.41
TXS3-00142,28.57,6.62,849,2,6.28
TXS3-00143,43.44,17.64,15,3,8.73
TXS3-00144,56.88,13.44,219,2,44.25
TXS3-00145,50.7,11.83,33,1,13.75
TXS3-00146,85.59,11.46,78,5,7.62
TXS3-00147,46.63,19.7,73,1,3.92
TXS3-00148,23.78,9.14,1551,1,3.92
TXS3-00149,34.81,10.11,24,2,15.33
TXS3-00150,30.76,20.81,1117,3,37.64
TXS3-00151,35.62,19.43,638,2,2.45
TXS3-00152,55.31,18.07,271,1,1.26
TXS3-00153,32.36,21.66,294,4,4.0
TXS3-00154,38.74,9.49,233,7,2.23
TXS3-00155,39.17,17.73,393,2,6.87
TXS3-00156,27.54,9.87,188,1,33.55
TXS3-00157,10.58,10.9,92,1,2.45
TXS3-00158,18.42,16.52,487,1,27.31
TXS3-00159,57.66,12.29,246,3,10.35
TXS3-00160,18.7,17.6,101,3,1.07
TXS3-00161,28.87,16.39,264,3,4.25
TXS3-00162,62.25,14.82,641,1,47.54
TXS3-00163,11.2,21.15,231,3,7.29
TXS3-00164,28.83,14.12,259,2,3.95
TXS3-00165,12.48,8.05,349,1,3.27
TXS3-00166,60.05,15.5,294,2,5.99
TXS3-00167,24.28,11.53,225,1,15.65
TXS3-00168,35.02,15.9,16,1,1.66
TXS3-00169,13.27,18.18,311,3,3.29
TXS3-00170,14.3,15.86,211,4,7.41
TXS3-00171,23.93,14.2,148,4,17.57
